Xilinx, IO,Index,sysio,pad_mux=0,pad_mux=1,pad_mux=2,pad_mux=3
JB[10],IO_0,0,jtag_tck,,,,
JB[8],IO_1,1,jtag_tdi,,,,
JB[9],IO_2,2,jtag_tdo,,,,
JB[7],IO_3,3,jtag_tms,,,,
SW[0],IO_4,4,jtag_trst,,,,
CLK100MHZ,IO_5,5,ref_clk,,,,
CPU_RESETN,IO_6,6,rstn,,,,
LED[1],IO_7,7,ld_ref_clk_lock,,,,
LED[2],IO_8,8,ld_ref_clk_blink,,,,
LED[3],IO_9,9,ld_eth_clk_lock,,,,
LED[4],IO_10,10,ld_eth_clk_blink,,,,
JC[1],IO_11,11,phy_rx_clk,,,,
JC[2],IO_12,12,phy_rxd[0],,,,
JC[7],IO_13,13,phy_tx_clk,,,,
JC[8],IO_14,14,phy_txd[0],,,,
JC[9],IO_15,15,phy_rx_ctl,,,,
JC[10],IO_16,16,phy_tx_ctl,,,,
JD[1],IO_17,17,phy_rxd[1],,,,
JD[2],IO_18,18,phy_rxd[2],,,,
JD[3],IO_19,19,phy_rxd[3],,,,
JD[7],IO_20,20,phy_txd[1],,,,
JD[8],IO_21,21,phy_txd[2],,,,
JD[9],IO_22,22,phy_txd[3],,,,
JA[10],IO_23,23,stm,,,,
SW[1],IO_24,24,bootsel,,,,fpgaio_37
UART_TXD_IN,IO_25,25,,uart0_rx,,apbio_0,fpgaio_0
UART_RXD_OUT,IO_26,26,,uart0_tx,,apbio_1,fpgaio_1
JB[2],IO_27,27,,uart1_tx,,apbio_2,fpgaio_2
JB[3],IO_28,28,,uart1_rx,,apbio_3,fpgaio_3
LED[0],IO_29,29,,apbio_32,apbio_47,apbio_4,fpgaio_4
JB[4],IO_30,30,,apbio_0,,apbio_5,fpgaio_5
XA_P[1],Jxadc[1],31,,qspim0_csn0,apbio_34,apbio_6,fpgaio_6
XA_P[2],Jxadc[2],32,,qspim0_data0,apbio_35,apbio_7,fpgaio_7
XA_P[3],Jxadc[3],33,,qspim0_data1,apbio_37,apbio_8,fpgaio_8
XA_P[4],Jxadc[4],34,,qspim0_clk,apbio_38,apbio_9,fpgaio_9
XA_N[1],Jxadc[7],35,,apbio_1,apbio_40,apbio_10,fpgaio_10
XA_N[2],Jxadc[8],36,,apbio_2,apbio_41,apbio_11,fpgaio_11
XA_N[3],Jxadc[9],37,,qspim0_data2,apbio_42,apbio_12,fpgaio_12
XA_N[4],Jxadc[10],38,,qspim0_data3,apbio_43,apbio_13,fpgaio_13
JC[3],IO_39,39,,i2cm0_scl,,apbio_16,fpgaio_16
JC[4],IO_40,40,,i2cm0_sda,,apbio_17,fpgaio_17
JA[1],IO_41,41,,sdio0_data3,,apbio_30,fpgaio_30
JA[2],IO_42,42,,sdio0_cmd,,apbio_31,fpgaio_31
JA[3],IO_43,43,,sdio0_data0,,apbio_32,fpgaio_32
JA[4],IO_44,44,,sdio0_clk,,apbio_43,fpgaio_33
JA[7],IO_45,45,,sdio0_data1,,apbio_44,fpgaio_34
JA[8],IO_46,46,,sdio0_data2,,apbio_45,fpgaio_35
JA[9],IO_47,47,,apbio_50,apbio_0,apbio_46,fpgaio_36
TMP_SCL,IO_48,48,,i2cm1_scl,,,fpgaio_38
TMP_SDA,IO_49,49,,i2cm1_sda,,,fpgaio_39
